food_name,calories,protein,fat,carbs,fiber,sugar,meal_type,cat
Cucumber Cooked Made With Butter,45.0,0.8,3.2,4.3,0.6,2.0,lunch,vegan
Upside-Down Pineapple Cake,319.0,3.5,12.1,50.5,0.8,0.0,snacks,vegan
Kraft Cheez Whiz Light Pasteurized Process Cheese Product,215.0,16.3,9.5,16.2,0.2,8.2,break-fast,vegan
Vegetables In Pastry,307.0,6.5,22.8,21.2,3.1,2.7,dinner,vegan
Babyfood Crackers Vegetable,477.0,8.4,19.6,66.8,4.0,13.0,snacks,vegan
Drumstick Leaves Raw,64.0,9.4,1.4,8.3,2.0,0.0,lunch,vegan
Tofu Hard Prepared With Nigari,145.0,12.7,10.0,4.4,0.6,0.0,lunch,vegan
Hamburger Nfs,220.0,13.8,10.5,16.8,0.8,3.5,lunch,vegan
Duck Soup,75.0,9.9,3.2,1.1,0.1,0.1,lunch,vegan
Egg Extra Cheese And Extra Sausage On Bun,274.0,14.3,17.7,14.0,0.4,3.2,break-fast,vegan
Chocolate Coated Marshmallows,421.0,4.0,16.9,67.7,2.0,44.8,snacks,vegan
Plums Canned Purple Juice Pack Solids And Liquids,58.0,0.5,0.0,15.2,0.9,14.2,snacks,vegan
Pizza Hut 12 Inch Cheese Pizza Hand-Tossed Crust,271.0,11.9,10.9,31.2,1.8,3.4,lunch,vegan
Silk Very Vanilla Soy Milk,53.0,2.5,1.6,7.8,0.4,6.6,lunch,vegan
Soy Sauce Made From Hydrolyzed Vegetable Protein,60.0,7.0,0.5,7.8,0.5,1.3,lunch,vegan
Pie Fried Pies Lemon,316.0,3.0,16.1,42.6,2.6,0.0,snacks,vegan
Corn White Steamed (Navajo),386.0,9.7,5.2,75.2,16.6,6.5,common,vegan
Sweet Potato Canned Vacuum Pack,91.0,1.6,0.2,21.1,1.8,5.0,lunch,vegan
Pie Crust Standard-Type Prepared From Recipe Baked,527.0,6.4,34.6,47.5,1.7,0.2,snacks,vegan
Hamburger 1 Small Patty Plain On Whole Wheat Bun,268.0,19.2,11.9,20.1,2.4,2.3,lunch,vegan
Cobbler Apple,195.0,2.3,4.9,36.5,0.9,23.1,break-fast,vegan
Pizza Hut 14 Inch Sausage Pizza Hand-Tossed Crust,287.0,11.9,13.5,29.4,2.3,2.7,lunch,vegan
Okra Cooked Boiled Drained With Salt,22.0,1.9,0.2,4.5,2.5,2.4,lunch,vegan
Soft Taco With Meat Beans And Sour Cream,202.0,7.9,10.0,20.4,2.8,2.6,dinner,vegan
Pie Apple Prepared From Recipe,265.0,2.4,12.5,37.1,0.0,0.0,snacks,vegan
Oatmeal Instant Other Flavors Fat Not Added In Cooking,97.0,2.4,1.2,20.2,1.9,8.0,break-fast,vegan
Dried Ancho Peppers,281.0,11.9,8.2,51.4,21.6,0.0,lunch,vegan
Coffee Mocha Instant Decaffeinated Pre-Lightened And Pre-Sweetened With Low Calorie Sweetener Reconstituted,14.0,0.3,0.4,2.3,0.2,1.1,break-fast,vegan
Ocean Spray Cranberry-Apple Juice Drink Bottled,56.0,0.3,0.0,13.7,0.6,13.1,break-fast,vegan
Dominos 14 Inch Sausage Pizza Classic Hand-Tossed Crust,273.0,11.1,11.2,31.8,2.4,3.9,lunch,vegan
