food_id,food_name,calories,protein,fat,carbs,fiber,sugar,sodium
1,Hot tea (Garam Chai),16.14429855,0.387885988,0.532066524,2.581947565,0.2,5.0,3.118764639
2,Instant coffee,23.15583229,0.640666664,0.74666667,3.653333426,0.2,5.0,4.916666508
3,Espreso coffee,51.54337311,1.747003078,2.138170242,6.620504856,0.2,5.0,13.97791767
4,Iced tea,10.34218788,0.027968749,0.0109375,2.701562405,0.2,5.0,0.234375
5,Raw mango drink (Aam panna),35.91822052,0.157034457,0.026340783,9.047467232,0.2,5.0,79.82497406
6,Fruit Punch (with fresh juices),36.11684418,0.139348939,0.032502044,9.380591393,0.2,5.0,2.632138252
7,Fruit Punch (with squashes),23.12828255,0.07234481,0.016838526,5.989855766,0.2,5.0,2.257480145
8,Lemonade,20.79898262,0.034817468,0.010450967,5.478568077,1.0,8.0,28.52360725
9,Lem-o-gin,21.5173645,0.080756836,0.02810091,5.551969051,1.0,8.0,28.13481522
10,Cumin infused water (Jeere/Zeere ka pani),9.089806557,0.169516787,0.11049059,1.864382148,1.0,8.0,189.5951233
11,Coco pine cooler,32.74876022,0.555053234,0.999981463,5.717686176,0.2,5.0,23.19581413
12,Summer cooler,22.4288311,0.373903692,0.035400074,5.431630611,0.2,5.0,1.573464274
13,Hot cocoa,90.09999847,3.362827301,4.56282711,9.234031677,1.0,8.0,24.20314026
14,Cold coffee with ice cream,67.84875488,1.570149183,2.109452724,11.24477673,0.2,5.0,13.84477615
15,Banana milkshake (Kele milkshake),65.30644989,1.843299627,2.371230125,9.145586014,0.2,5.0,13.60868263
16,Mango milkshake (Aam milkshake),56.90112305,1.726751089,2.345879078,7.231504917,0.2,5.0,13.27369881
17,Pineapple milkshake (Ananas milkshake),55.71769333,1.659259319,2.228806734,7.624691486,0.2,5.0,14.05432034
18,Orange milkshake (Narangi milkshake),57.4150238,1.864788771,2.523943663,7.107042313,0.2,5.0,14.62535191
19,Egg nog,97.14144897,4.77630949,5.110444546,8.145041466,0.0,0.0,40.64762878
20,Sweet Lassi (Meethi lassi),35.66101837,1.288135529,0.677966118,6.508474827,0.2,5.0,18.30508423
21,Lassi (salted),18.84494209,1.354937911,0.718629658,1.856243372,0.2,5.0,65.4016571
22,Cheese and chilli sandwich,218.1146698,6.795605183,9.780448914,27.40143394,0.0,5.0,437.5007935
23,Egg sandwich (Ande ka sandwich),285.9570923,8.69467926,15.79773426,29.15723991,0.0,0.0,461.6703491
24,Cucumber sandwich (Kheere ka sandwich),188.5979004,4.798436165,7.997695446,25.76510239,2.5,3.0,362.6423035
25,Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),257.714325,8.196501732,12.79748917,29.10188293,1.8,10.0,571.9564209
26,Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),243.3199158,7.918540478,12.27442074,26.92240334,2.5,3.0,549.7084961
27,Chicken sandwich,253.2726746,13.12411976,11.74866962,25.37733841,0.0,0.0,389.6655884
28,Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),291.4269104,9.528888702,16.1376133,28.54493713,2.5,3.0,364.9900513
29,Rainbow sandwich,272.7514038,7.746617794,12.53957653,34.26394653,1.0,8.0,612.4857788
30,Club sandwich,235.324173,7.310127735,15.12153625,18.50842094,1.0,8.0,461.6601563
31,Vegetarian club sandwich,198.3292542,5.451312065,11.32917023,19.68419266,1.0,8.0,305.3633118
32,Pin wheel sandwich,311.5205994,8.766905785,24.93470955,14.0041256,1.0,8.0,374.3905029
33,Carrot apple sandwich (Gajar aur seb ka sandwich),214.1118469,5.297377586,9.123984337,29.04496193,1.8,10.0,302.8827209
